id,name,rarity,form,t1,t2,rank,mult,industry,agriculture,military,logistics,arcane,exclusive,kingdom_work,war_duties,brings_home,second_nature
1,Dilloom,uncommon,1,Leaf,Toxin,Adept,1.15,25,77,39,28,48,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","Alchemy; Medicine Brewing; Pest Control; Poison Warfare"
2,Dynamouse,common,1,Fire,,Companion,1,70,5,60,15,20,false,"Blacksmithing; Smelting; Glass Making; Metal Refining; Weapon Crafting","Siege Engineers; Assault Units; Artillery Specialists","Weapons; Armor; Industrial Production",
3,Nageel,common,1,Water,,Companion,1,25,45,40,65,15,false,"Fishing; Irrigation; Harbor Operations; Navigation; Water Mills","Naval Crew; Marines; River Logistics","Shipping; Trade; Fisheries",
4,Eekape,uncommon,1,Phantom,Toxin,Adept,1.15,21,25,71,36,77,false,"Night Watch; Archives of Secrets; Dream Tending","Espionage; Sabotage; Night Operations; Fear Warfare","Intelligence; Contraband Recovery","Alchemy; Medicine Brewing; Pest Control; Poison Warfare"
5,Palytid,uncommon,1,Toxin,,Adept,1.15,29,46,52,17,63,false,"Alchemy; Medicine Brewing; Pest Control; Waste Reclamation","Poison Warfare; Area Denial; Antidote Corps","Potions; Antidotes; Reagents",
6,Mianari,common,1,Lightning,,Companion,1,60,10,45,30,55,false,"Workshops; Machinery; Automation; Magical Infrastructure; Research","Battlefield Support; Arcane Engineering","Technology; Advanced Crafting; Automation",
7,Berrball,uncommon,1,Mystic,,Adept,1.15,17,17,40,23,86,false,"Arcane Research; Enchanting; Divination; Academy Teaching","Battle Magi; Ward Casters; Ritual Support","Scrolls; Enchantments; Knowledge",
8,Cesstoid,uncommon,1,Neutral,Mystic,Adept,1.15,40,40,51,43,63,false,"General Labor; Apprenticeships; Shopkeeping; Any Trade","Reserves; Auxiliary Corps; Logistics Support","Flexible Labor; Steady Output","Arcane Research; Enchanting; Divination; Battle Magi"
9,Mizumi,uncommon,1,Neutral,,Adept,1.15,46,46,46,46,35,false,"General Labor; Apprenticeships; Shopkeeping; Any Trade","Reserves; Auxiliary Corps; Logistics Support","Flexible Labor; Steady Output",
10,Chulember,common,1,Fire,,Companion,1,70,5,60,15,20,false,"Blacksmithing; Smelting; Glass Making; Metal Refining; Weapon Crafting","Siege Engineers; Assault Units; Artillery Specialists","Weapons; Armor; Industrial Production",
11,Geckno,uncommon,1,Telepath,,Adept,1.15,23,23,35,52,81,false,"Coordination; Diplomacy; Census & Planning; Education","Command Relay; Morale Operations; Interrogation","Administration; Treaties; Efficiency Gains",
12,Blockid,uncommon,1,Combat,,Adept,1.15,23,12,86,29,12,false,"Guard Duty; Militia Training; Arena Instruction; Escort Work","Front Line; Duelists; Drill Sergeants; Vanguard","Security; Mercenary Contracts; Training Fees",
13,Thermolophus,uncommon,1,Rock,Earth,Adept,1.15,90,21,77,23,9,false,"Quarrying; Heavy Construction; Road Building; Demolition","Bulwark Units; Siege Absorption; Wall Wardens","Granite; Ore; Fortifications","Mining; Quarrying; Construction; Heavy Infantry"
14,Keradon,uncommon,1,Earth,,Adept,1.15,75,29,63,23,12,false,"Mining; Quarrying; Construction; Masonry; Excavation; Terraforming","Heavy Infantry; Shield Units; Defensive Engineers; Fortress Builders","Stone; Clay; Iron; Granite; Mountain Infrastructure",
15,Vermillios,uncommon,1,Water,,Adept,1.15,29,52,46,75,17,false,"Fishing; Irrigation; Harbor Operations; Navigation; Water Mills","Naval Crew; Marines; River Logistics","Shipping; Trade; Fisheries",
16,Vivorin,uncommon,1,Insect,Flyer,Adept,1.15,46,52,52,61,16,false,"Swarm Labor; Pollination; Silk Production; Tunnel Networks","Swarm Tactics; Attrition Units; Field Repair","Silk; Honey; Rapid Construction","Couriers; Scouts; Caravan Leaders; Reconnaissance"
17,Windora,legendary,1,Water,Flyer,Champion,1.7,37,65,82,100,29,false,"Fishing; Irrigation; Harbor Operations; Navigation; Water Mills","Naval Crew; Marines; River Logistics","Shipping; Trade; Fisheries","Couriers; Scouts; Caravan Leaders; Reconnaissance"
18,Geenee,uncommon,1,Neutral,,Adept,1.15,46,46,46,46,35,false,"General Labor; Apprenticeships; Shopkeeping; Any Trade","Reserves; Auxiliary Corps; Logistics Support","Flexible Labor; Steady Output",
